longitude,latitude,api_timestamp,collection_time,taxi_status_from_api,region,available_for_hire_taxis
103.95,1.35,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,East,592
103.82,1.42,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,North,252
103.88,1.37,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,Northeast,208
103.76,1.28,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,Other,162
103.7,1.35,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,West,150
103.83,1.3,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,Central,686
103.95,1.35,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,East,561
103.82,1.42,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,North,238
103.88,1.37,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,Northeast,229
103.76,1.28,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,Other,185
103.7,1.35,2026-06-17T00:35:00+08:00,2026-06-17T00:35:00,available_for_hire_region_count_synthetic,West,149
103.83,1.3,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,Central,686
103.95,1.35,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,East,534
103.82,1.42,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,North,240
103.88,1.37,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,Northeast,224
103.76,1.28,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,Other,172
103.7,1.35,2026-06-17T00:40:00+08:00,2026-06-17T00:40:00,available_for_hire_region_count_synthetic,West,148
103.83,1.3,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,Central,736
103.95,1.35,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,East,553
103.82,1.42,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,North,239
103.88,1.37,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,Northeast,230
103.76,1.28,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,Other,166
103.7,1.35,2026-06-17T00:45:00+08:00,2026-06-17T00:45:00,available_for_hire_region_count_synthetic,West,170
103.83,1.3,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,Central,670
103.95,1.35,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,East,534
103.82,1.42,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,North,265
103.88,1.37,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,Northeast,224
103.76,1.28,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,Other,176
103.7,1.35,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00,available_for_hire_region_count_synthetic,West,162
103.83,1.3,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,Central,793
103.95,1.35,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,East,524
103.82,1.42,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,North,261
103.88,1.37,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,Northeast,237
103.76,1.28,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,Other,161
103.7,1.35,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00,available_for_hire_region_count_synthetic,West,148
103.83,1.3,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,Central,738
103.95,1.35,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,East,470
103.82,1.42,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,North,249
103.88,1.37,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,Northeast,210
103.76,1.28,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,Other,167
103.7,1.35,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00,available_for_hire_region_count_synthetic,West,146
103.83,1.3,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,Central,764
103.95,1.35,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,East,426
103.82,1.42,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,North,217
103.88,1.37,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,Northeast,196
103.76,1.28,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,Other,149
103.7,1.35,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00,available_for_hire_region_count_synthetic,West,129
103.83,1.3,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,Central,766
103.95,1.35,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,East,455
103.82,1.42,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,North,273
103.88,1.37,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,Northeast,229
103.76,1.28,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,Other,159
103.7,1.35,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00,available_for_hire_region_count_synthetic,West,157
103.83,1.3,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,Central,752
103.95,1.35,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,East,435
103.82,1.42,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,North,251
103.88,1.37,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,Northeast,218
103.76,1.28,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,Other,155
103.7,1.35,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00,available_for_hire_region_count_synthetic,West,156
103.83,1.3,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,Central,751
103.95,1.35,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,East,415
103.82,1.42,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,North,247
103.88,1.37,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,Northeast,195
103.76,1.28,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,Other,164
103.7,1.35,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00,available_for_hire_region_count_synthetic,West,131
103.83,1.3,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,Central,838
103.95,1.35,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,East,407
103.82,1.42,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,North,264
103.88,1.37,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,Northeast,215
103.76,1.28,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,Other,163
103.7,1.35,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00,available_for_hire_region_count_synthetic,West,147
103.83,1.3,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,Central,826
103.95,1.35,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,East,399
103.82,1.42,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,North,248
103.88,1.37,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,Northeast,218
103.76,1.28,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,Other,166
103.7,1.35,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00,available_for_hire_region_count_synthetic,West,145
103.83,1.3,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,Central,836
103.95,1.35,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,East,405
103.82,1.42,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,North,276
103.88,1.37,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,Northeast,212
103.76,1.28,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,Other,162
103.7,1.35,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00,available_for_hire_region_count_synthetic,West,131
103.83,1.3,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,Central,841
103.95,1.35,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,East,383
103.82,1.42,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,North,274
103.88,1.37,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,Northeast,211
103.76,1.28,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,Other,151
103.7,1.35,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00,available_for_hire_region_count_synthetic,West,149
103.83,1.3,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,Central,859
103.95,1.35,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,East,415
103.82,1.42,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,North,275
103.88,1.37,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,Northeast,223
103.76,1.28,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,Other,143
103.7,1.35,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00,available_for_hire_region_count_synthetic,West,145
103.83,1.3,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,Central,908
103.95,1.35,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,East,420
103.82,1.42,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,North,294
103.88,1.37,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,Northeast,239
103.76,1.28,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,Other,152
103.7,1.35,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00,available_for_hire_region_count_synthetic,West,146
103.83,1.3,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,Central,887
103.95,1.35,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,East,444
103.82,1.42,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,North,284
103.88,1.37,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,Northeast,219
103.76,1.28,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,Other,151
103.7,1.35,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00,available_for_hire_region_count_synthetic,West,141
103.83,1.3,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,Central,872
103.95,1.35,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,East,428
103.82,1.42,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,North,287
103.88,1.37,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,Northeast,207
103.76,1.28,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,Other,148
103.7,1.35,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00,available_for_hire_region_count_synthetic,West,132
103.83,1.3,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,Central,777
103.95,1.35,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,East,425
103.82,1.42,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,North,279
103.88,1.37,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,Northeast,235
103.76,1.28,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,Other,143
103.7,1.35,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00,available_for_hire_region_count_synthetic,West,120
103.83,1.3,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,Central,813
103.95,1.35,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,East,422
103.82,1.42,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,North,273
103.88,1.37,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,Northeast,204
103.76,1.28,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,Other,151
103.7,1.35,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00,available_for_hire_region_count_synthetic,West,133
103.83,1.3,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,Central,757
103.95,1.35,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,East,395
103.82,1.42,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,North,264
103.88,1.37,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,Northeast,211
103.76,1.28,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,Other,159
103.7,1.35,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00,available_for_hire_region_count_synthetic,West,117
103.83,1.3,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,Central,744
103.95,1.35,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,East,406
103.82,1.42,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,North,242
103.88,1.37,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,Northeast,229
103.76,1.28,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,Other,146
103.7,1.35,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00,available_for_hire_region_count_synthetic,West,115
103.83,1.3,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,Central,719
103.95,1.35,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,East,387
103.82,1.42,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,North,224
103.88,1.37,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,Northeast,189
103.76,1.28,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,Other,155
103.7,1.35,2026-06-17T02:25:00+08:00,2026-06-17T02:25:00,available_for_hire_region_count_synthetic,West,120
103.83,1.3,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,Central,704
103.95,1.35,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,East,374
103.82,1.42,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,North,242
103.88,1.37,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,Northeast,198
103.76,1.28,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,Other,148
103.7,1.35,2026-06-17T02:30:00+08:00,2026-06-17T02:30:00,available_for_hire_region_count_synthetic,West,132
103.83,1.3,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,Central,683
103.95,1.35,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,East,383
103.82,1.42,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,North,214
103.88,1.37,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,Northeast,186
103.76,1.28,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,Other,136
103.7,1.35,2026-06-17T02:35:00+08:00,2026-06-17T02:35:00,available_for_hire_region_count_synthetic,West,121
103.83,1.3,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,Central,633
103.95,1.35,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,East,398
103.82,1.42,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,North,227
103.88,1.37,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,Northeast,173
103.76,1.28,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,Other,145
103.7,1.35,2026-06-17T02:40:00+08:00,2026-06-17T02:40:00,available_for_hire_region_count_synthetic,West,135
103.83,1.3,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,Central,673
103.95,1.35,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,East,391
103.82,1.42,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,North,259
103.88,1.37,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,Northeast,189
103.76,1.28,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,Other,152
103.7,1.35,2026-06-17T02:45:00+08:00,2026-06-17T02:45:00,available_for_hire_region_count_synthetic,West,133
103.83,1.3,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,Central,607
103.95,1.35,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,East,398
103.82,1.42,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,North,241
103.88,1.37,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,Northeast,177
103.76,1.28,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,Other,161
103.7,1.35,2026-06-17T02:50:00+08:00,2026-06-17T02:50:00,available_for_hire_region_count_synthetic,West,135
103.83,1.3,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,Central,621
103.95,1.35,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,East,404
103.82,1.42,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,North,242
103.88,1.37,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,Northeast,171
103.76,1.28,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,Other,153
103.7,1.35,2026-06-17T02:55:00+08:00,2026-06-17T02:55:00,available_for_hire_region_count_synthetic,West,131
103.83,1.3,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,Central,581
103.95,1.35,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,East,391
103.82,1.42,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,North,265
103.88,1.37,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,Northeast,173
103.76,1.28,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,Other,139
103.7,1.35,2026-06-17T03:00:00+08:00,2026-06-17T03:00:00,available_for_hire_region_count_synthetic,West,125
103.83,1.3,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,Central,586
103.95,1.35,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,East,363
103.82,1.42,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,North,248
103.88,1.37,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,Northeast,148
103.76,1.28,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,Other,131
103.7,1.35,2026-06-17T03:05:00+08:00,2026-06-17T03:05:00,available_for_hire_region_count_synthetic,West,118
103.83,1.3,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,Central,538
103.95,1.35,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,East,374
103.82,1.42,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,North,233
103.88,1.37,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,Northeast,179
103.76,1.28,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,Other,124
103.7,1.35,2026-06-17T03:10:00+08:00,2026-06-17T03:10:00,available_for_hire_region_count_synthetic,West,133
103.83,1.3,2026-06-17T03:15:00+08:00,2026-06-17T03:15:00,available_for_hire_region_count_synthetic,Central,599
103.95,1.35,2026-06-17T03:15:00+08:00,2026-06-17T03:15:00,available_for_hire_region_count_synthetic,East,345
